user_id,name,age,gender,city,signup_date,purchase_amount,membership,active
969,Pooja,18.0,M,Unknown City,,1200.0,Gold,False
2066,Arjun,21.0,Unknown Gender,Delhi,,1200.0,Bronze,True
1901,Riya,21.0,Unknown Gender,Mumbai,2022-02-10,1200.0,Gold,True
191,Arjun,21.0,F,Unknown City,,1200.0,Silver,False
130,Unknown Name,21.0,F,Pune,2022-01-10,1200.0,Unknown,True
993,Sneha,21.0,M,Delhi,2021-12-05,1200.0,Silver,True
95,Kunal,18.0,F,Mumbai,2022-01-10,1200.0,Bronze,False
680,Riya,21.0,M,Unknown City,2019-03-20,1200.0,Bronze,False
712,Arjun,21.0,M,Pune,2019-03-20,1200.0,Gold,False
2206,Kunal,21.0,M,Bangalore,2020-07-15,1200.0,Gold,False
645,Aman,21.0,M,Pune,2019-03-20,1200.0,Bronze,False
2189,Unknown Name,20.0,M,Mumbai,2022-01-10,1200.0,Silver,False
985,Arjun,18.0,F,Delhi,2021-12-05,1200.0,Gold,False
622,Unknown Name,22.0,F,Pune,,1200.0,Silver,True
2332,Arjun,21.0,M,Unknown City,2022-01-10,1200.0,Silver,True
828,Riya,21.0,M,Delhi,2022-01-10,1200.0,Silver,False
226,Arjun,21.0,F,Bangalore,2019-03-20,1200.0,Gold,False
1646,Arjun,23.0,Unknown Gender,Delhi,2020-07-15,1200.0,Silver,False
567,Aman,21.0,M,Bangalore,2022-01-10,1200.0,Unknown,False
2419,Aman,21.0,Unknown Gender,Pune,2022-01-10,1200.0,Gold,False
2204,Unknown Name,21.0,F,Bangalore,,1200.0,Silver,False
1866,Aman,21.0,M,Pune,2021-12-05,1200.0,Gold,True
951,Riya,23.0,F,Delhi,,1200.0,Gold,False
845,Unknown Name,21.0,F,Pune,,1200.0,Silver,False
1347,Pooja,20.0,M,Pune,2019-03-20,1200.0,Unknown,False
782,Pooja,23.0,F,Unknown City,2019-03-20,1200.0,Gold,False
1092,Aman,21.0,M,Delhi,2022-01-10,1200.0,Silver,False
403,Riya,23.0,M,Delhi,,1200.0,Unknown,True
2366,Riya,21.0,F,Bangalore,2022-01-10,1200.0,Unknown,False
344,Sneha,19.0,M,Mumbai,2020-07-15,1200.0,Silver,False
2471,Kunal,21.0,Unknown Gender,Delhi,2022-02-10,1200.0,Bronze,False
1167,Riya,21.0,M,Delhi,,1200.0,Gold,True
1819,Arjun,18.0,Unknown Gender,Mumbai,,1200.0,Gold,False
2191,Pooja,21.0,M,Mumbai,2019-03-20,1200.0,Bronze,False
685,Sneha,21.0,M,Mumbai,2019-03-20,1200.0,Silver,False
1998,Unknown Name,21.0,M,Delhi,2020-07-15,1200.0,Silver,False
921,Riya,22.0,M,Mumbai,2021-12-05,1200.0,Unknown,True
1670,Unknown Name,21.0,M,Delhi,2020-07-15,1200.0,Silver,False
1706,Unknown Name,21.0,M,Bangalore,,1200.0,Unknown,True
